0 -> [(1, 3), (2, 1), (3, 2), (4, 2), (5, 3), (6, 4), (7, 2), (8, 3), (9, 2), (10, 2), (11, 1), ]
1 -> [(0, 3), (2, 2), (3, 5), (4, 5), (5, 5), (6, 2), (7, 5), (8, 2), (9, 1), (10, 1), (11, 2), ]
2 -> [(0, 1), (1, 2), (3, 2), (4, 2), (5, 5), (6, 2), (7, 2), (8, 3), (9, 2), (10, 2), (11, 3), ]
3 -> [(0, 2), (1, 5), (2, 2), (4, 4), (5, 2), (6, 4), (7, 5), (8, 2), (9, 3), (10, 1), (11, 4), ]
4 -> [(0, 2), (1, 5), (2, 2), (3, 4), (5, 1), (6, 5), (7, 2), (8, 2), (9, 2), (10, 2), (11, 5), ]
5 -> [(0, 3), (1, 5), (2, 5), (3, 2), (4, 1), (6, 2), (7, 5), (8, 3), (9, 1), (10, 1), (11, 6), ]
6 -> [(0, 4), (1, 2), (2, 2), (3, 4), (4, 5), (5, 2), (7, 2), (8, 2), (9, 2), (10, 2), (11, 7), ]
7 -> [(0, 2), (1, 5), (2, 2), (3, 5), (4, 2), (5, 5), (6, 2), (8, 3), (9, 2), (10, 1), (11, 8), ]
8 -> [(0, 3), (1, 2), (2, 3), (3, 2), (4, 2), (5, 3), (6, 2), (7, 3), (9, 2), (10, 2), (11, 9), ]
9 -> [(0, 2), (1, 1), (2, 2), (3, 3), (4, 2), (5, 1), (6, 2), (7, 2), (8, 2), (10, 1), (11, 10), ]
10 -> [(0, 2), (1, 1), (2, 2), (3, 1), (4, 2), (5, 1), (6, 2), (7, 1), (8, 2), (9, 1), (11, 11), ]
11 -> [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11), ]
